Species,Area,Year,Catch
Emperors(=Scavengers) NEI,"Indian Ocean, Western",2019,6143.49
Emperors(=Scavengers) NEI,"Indian Ocean, Western",2020,7571.92
Emperors(=Scavengers) NEI,"Indian Ocean, Western",2021,7994.24
Emperors(=Scavengers) NEI,"Indian Ocean, Western",2022,6770.85
Emperors(=Scavengers) NEI,"Indian Ocean, Western",2023,7297.09
False trevally,"Indian Ocean, Eastern",2014,0
False trevally,"Indian Ocean, Eastern",2015,8811
False trevally,"Indian Ocean, Eastern",2016,5869
False trevally,"Indian Ocean, Eastern",2017,7727
False trevally,"Indian Ocean, Eastern",2018,5618.4
False trevally,"Indian Ocean, Eastern",2019,5421.51
False trevally,"Indian Ocean, Eastern",2020,6682.08
False trevally,"Indian Ocean, Eastern",2021,7054.76
False trevally,"Indian Ocean, Eastern",2022,5975.15
False trevally,"Indian Ocean, Eastern",2023,6672.3
False trevally,"Indian Ocean, Western",2014,1421
False trevally,"Indian Ocean, Western",2015,1462
False trevally,"Indian Ocean, Western",2016,1312
False trevally,"Indian Ocean, Western",2017,791
False trevally,"Indian Ocean, Western",2018,1596.96
False trevally,"Indian Ocean, Western",2019,1005.01
False trevally,"Indian Ocean, Western",2020,722.43
False trevally,"Indian Ocean, Western",2021,1384.82
False trevally,"Indian Ocean, Western",2022,1704.17
False trevally,"Indian Ocean, Western",2023,1868.55
Flatfishes NEI,"Indian Ocean, Eastern",2014,5500
Flatfishes NEI,"Indian Ocean, Eastern",2015,5600
Flatfishes NEI,"Indian Ocean, Eastern",2016,5000
Flatfishes NEI,"Indian Ocean, Eastern",2017,3016
Flatfishes NEI,"Indian Ocean, Eastern",2018,6089.04
Flatfishes NEI,"Indian Ocean, Eastern",2019,3831.99
Flatfishes NEI,"Indian Ocean, Eastern",2020,2754.57
Flatfishes NEI,"Indian Ocean, Eastern",2021,5280.18
Flatfishes NEI,"Indian Ocean, Eastern",2022,6497.83
Flatfishes NEI,"Indian Ocean, Eastern",2023,7309.31
Flatfishes NEI,"Indian Ocean, Western",2014,9116
Flatfishes NEI,"Indian Ocean, Western",2015,7481
Flatfishes NEI,"Indian Ocean, Western",2016,7428
Flatfishes NEI,"Indian Ocean, Western",2017,7683
Flatfishes NEI,"Indian Ocean, Western",2018,8645.16
Flatfishes NEI,"Indian Ocean, Western",2019,8476.35
Flatfishes NEI,"Indian Ocean, Western",2020,5880.72
Flatfishes NEI,"Indian Ocean, Western",2021,6982.87
Flatfishes NEI,"Indian Ocean, Western",2022,5156.52
Flatfishes NEI,"Indian Ocean, Western",2023,5421.98
Flyingfishes NEI,"Indian Ocean, Eastern",2014,44000
Flyingfishes NEI,"Indian Ocean, Eastern",2015,36700
Flyingfishes NEI,"Indian Ocean, Eastern",2016,36400
Flyingfishes NEI,"Indian Ocean, Eastern",2017,37649
Flyingfishes NEI,"Indian Ocean, Eastern",2018,42363.85
Flyingfishes NEI,"Indian Ocean, Eastern",2019,41536.65
Flyingfishes NEI,"Indian Ocean, Eastern",2020,28817.28
Flyingfishes NEI,"Indian Ocean, Eastern",2021,34218.13
Flyingfishes NEI,"Indian Ocean, Eastern",2022,25268.48
Flyingfishes NEI,"Indian Ocean, Eastern",2023,28281.37
Flyingfishes NEI,"Indian Ocean, Western",2014,3750
Flyingfishes NEI,"Indian Ocean, Western",2015,4150
Flyingfishes NEI,"Indian Ocean, Western",2016,3230
Flyingfishes NEI,"Indian Ocean, Western",2017,1268
Flyingfishes NEI,"Indian Ocean, Western",2018,1912.84
Flyingfishes NEI,"Indian Ocean, Western",2019,1875.13
Flyingfishes NEI,"Indian Ocean, Western",2020,382.76
Flyingfishes NEI,"Indian Ocean, Western",2021,383.7
Flyingfishes NEI,"Indian Ocean, Western",2022,702.35
Flyingfishes NEI,"Indian Ocean, Western",2023,758.44
Frigate tuna,"Indian Ocean, Eastern",2014,67000
Frigate tuna,"Indian Ocean, Eastern",2015,71800
Frigate tuna,"Indian Ocean, Eastern",2016,78000
Frigate tuna,"Indian Ocean, Eastern",2017,85000
Frigate tuna,"Indian Ocean, Eastern",2018,90718.14
Frigate tuna,"Indian Ocean, Eastern",2019,95335.62
Frigate tuna,"Indian Ocean, Eastern",2020,95800.51
Frigate tuna,"Indian Ocean, Eastern",2021,98536.6
Frigate tuna,"Indian Ocean, Eastern",2022,100830.63
Frigate tuna,"Indian Ocean, Eastern",2023,116782.46
Frigate tuna,"Indian Ocean, Western",2014,3965.84
Frigate tuna,"Indian Ocean, Western",2015,1317.28
Frigate tuna,"Indian Ocean, Western",2016,2673.32
Frigate tuna,"Indian Ocean, Western",2017,1981.84
Frigate tuna,"Indian Ocean, Western",2018,1397.33
Frigate tuna,"Indian Ocean, Western",2019,5642
Frigate tuna,"Indian Ocean, Western",2020,3283
Frigate tuna,"Indian Ocean, Western",2021,2984.2
Frigate tuna,"Indian Ocean, Western",2022,5525.8
Frigate tuna,"Indian Ocean, Western",2023,9096
Giant tiger prawn,"Indian Ocean, Western",2014,88402
Giant tiger prawn,"Indian Ocean, Western",2015,85695
Giant tiger prawn,"Indian Ocean, Western",2016,86116
Giant tiger prawn,"Indian Ocean, Western",2017,90160
Giant tiger prawn,"Indian Ocean, Western",2018,82689.88
Giant tiger prawn,"Indian Ocean, Western",2019,83750.21
Giant tiger prawn,"Indian Ocean, Western",2020,67383.86
Giant tiger prawn,"Indian Ocean, Western",2021,72486.29
Giant tiger prawn,"Indian Ocean, Western",2022,70291.6
Giant tiger prawn,"Indian Ocean, Western",2023,79087.52
Goatfishes,"Indian Ocean, Eastern",2014,117200
Goatfishes,"Indian Ocean, Eastern",2015,113500
Goatfishes,"Indian Ocean, Eastern",2016,114000
Goatfishes,"Indian Ocean, Eastern",2017,119353
Goatfishes,"Indian Ocean, Eastern",2018,109464.12
Goatfishes,"Indian Ocean, Eastern",2019,110867.79
Goatfishes,"Indian Ocean, Eastern",2020,89202.14
Goatfishes,"Indian Ocean, Eastern",2021,95842.77
Goatfishes,"Indian Ocean, Eastern",2022,93051.4
Goatfishes,"Indian Ocean, Eastern",2023,97265.56
Goatfishes,"Indian Ocean, Western",2014,12400
Goatfishes,"Indian Ocean, Western",2015,17000
Goatfishes,"Indian Ocean, Western",2016,16900
Goatfishes,"Indian Ocean, Western",2017,11335
Goatfishes,"Indian Ocean, Western",2018,10558.53
Goatfishes,"Indian Ocean, Western",2019,12674.14
Goatfishes,"Indian Ocean, Western",2020,11145.21
